Age	ID	Sex	Location	AntiGot	Condition	Cost	NeutGot
8.5	4	M	Urban	Empty	Private	N	Empty
6.5	8	M	Urban	Good	Public	N	Good
7.030555556	9	F	Urban	Bad	Public	N	Good
7.183333333	11	F	Urban	Good	Public	N	Good
6.738888889	12	M	Urban	Empty	Public	N	Empty
7.063888889	13	M	Urban	Good	Public	N	Empty
6.686111111	14	M	Urban	Bad	Public	N	Good
6.355555556	15	M	Urban	Bad	Public	N	Good
6.802777778	18	F	Urban	Bad	Public	N	Good
6.8	19	M	Urban	Bad	Public	N	Good
7.202777778	21	F	Urban	Bad	Public	N	Good
6.494444444	25	F	Rural	Bad	Private	N	Good
6.5	26	F	Rural	Bad	Private	N	Good
8.725	27	M	Rural	Good	Private	N	Bad
7.002777778	28	F	Rural	Bad	Private	N	Good
7.180555556	29	M	Rural	Bad	Private	N	Good
6.113888889	30	F	Rural	Bad	Private	N	Good
7.355555556	31	M	Rural	Bad	Private	N	Good
6.755555556	32	M	Rural	Good	Private	N	Bad
7.313888889	33	M	Rural	Bad	Private	N	Good
7.5	34	F	Rural	Good	Private	N	Good
6.5	35	M	Rural	Empty	Private	N	Empty
7.211111111	36	F	Rural	Good	Private	N	Bad
9.063888889	37	F	Rural	Good	Private	N	Bad
6.672222222	38	M	Rural	Good	Private	N	Empty
6.213888889	39	F	Rural	Bad	Private	N	Good
9.872222222	40	M	Rural	Good	Private	N	Good
9.022222222	41	M	Rural	Bad	Private	N	Good
6.5	42	M	Rural	Good	Private	N	Empty
5.522222222	43	F	Rural	Bad	Private	N	Bad
8.5	44	M	Rural	Bad	Private	N	Good
6.5	45	F	Rural	Good	Private	N	Good
6.958333333	46	M	Urban	Bad	Private	N	Good
5.622222222	47	F	Urban	Bad	Private	N	Good
6.561111111	48	F	Urban	Bad	Private	N	Good
6.397222222	49	F	Urban	Bad	Private	N	Bad
6.611111111	50	F	Urban	Good	Private	N	Bad
6.413888889	51	F	Urban	Bad	Private	N	Empty
6.788888889	52	M	Urban	Good	Private	N	Bad
7.336111111	53	F	Urban	Bad	Private	N	Good
7.336111111	54	F	Urban	Good	Private	N	Bad
6.455555556	55	F	Urban	Bad	Private	N	Good
6.733333333	56	M	Urban	Good	Private	N	Good
7.3	57	M	Urban	Bad	Private	N	Good
6.477777778	58	M	Urban	Bad	Private	N	Good
6.752777778	59	F	Urban	Bad	Private	N	Good
6.75	60	M	Urban	Good	Private	N	Good
6.447222222	61	F	Urban	Bad	Private	N	Good
7	62	F	Urban	Bad	Private	N	Good
7.169444444	63	M	Urban	Good	Private	N	Bad
6.441666667	64	F	Urban	Good	Private	N	Bad
7.833333333	65	F	Urban	Bad	Private	N	Good
6.983333333	66	M	Urban	Empty	Private	N	Bad
7.072222222	67	F	Urban	Bad	Private	N	Good
8.25	68	F	Urban	Empty	Private	N	Good
8.438888889	69	F	Urban	Good	Private	N	Empty
7.688888889	70	F	Urban	Good	Private	N	Bad
7.691666667	71	M	Urban	Bad	Private	N	Good
8.4	72	M	Urban	Good	Private	N	Bad
8.055555556	73	F	Urban	Bad	Private	N	Good
7.616666667	74	F	Urban	Bad	Private	N	Good
7.472222222	75	F	Urban	Bad	Private	N	Good
7.569444444	76	F	Urban	Good	Private	N	Bad
7.683333333	77	F	Urban	Bad	Private	N	Good
7.427777778	78	F	Urban	Bad	Private	N	Good
7.883333333	79	M	Urban	Bad	Private	N	Good
8.161111111	80	F	Urban	Bad	Private	N	Good
7.983333333	81	M	Urban	Empty	Private	N	Good
8.069444444	82	F	Urban	Bad	Private	N	Good
8.388888889	83	F	Urban	Bad	Private	N	Good
8	84	M	Urban	Bad	Private	N	Good
7.494444444	85	M	Urban	Good	Private	N	Bad
6.975	86	F	Urban	Good	Private	N	Good
6.527777778	87	F	Urban	Bad	Private	N	Good
7.908333333	88	M	Urban	Bad	Private	N	Good
7.722222222	89	F	Urban	Bad	Private	N	Empty
7.691666667	90	M	Urban	Bad	Private	N	Good
7.5	91	M	Urban	Empty	Private	N	Good
5.5	92	M	Urban	Good	Private	N	Good
5.5	93	M	Urban	Good	Private	N	Good
5.5	94	M	Urban	Bad	Private	N	Empty
8.030555556	95	F	Urban	Bad	Private	N	Good
7.708333333	96	F	Urban	Bad	Private	N	Good
8.125	97	M	Urban	Bad	Private	N	Good
7.452777778	98	M	Urban	Bad	Private	N	Good
7.663888889	99	F	Urban	Bad	Private	N	Good
7.6	100	M	Urban	Good	Private	N	Good
8.266666667	101	F	Urban	Bad	Private	N	Good
9.047222222	102	F	Urban	Empty	Public	N	Good
8.158333333	103	F	Urban	Bad	Public	N	Good
8.952777778	104	M	Urban	Bad	Public	N	Good
8.5	105	F	Urban	Good	Public	N	Good
8.122222222	106	F	Urban	Good	Public	N	Good
8.013888889	107	M	Urban	Bad	Public	N	Good
